X,Y,id,id_hidra,tipo_hidra,diametro_b,cota_impla,levantamen,foto_inter,foto_exter,origem_dad,proprietar,observacoe
-8.209896608738,40.7271123888159,"122","122","2","6","384.64","1",,FOTOS\OF-PL-9307,"1","1",
-8.21196986031169,40.7258530051062,"123","123","2","6","390.07","1",,FOTOS\OF-PL-9318,"1","1",
-8.21208881268512,40.7258109759361,"124","124","2","6","389.79","1",,FOTOS\OF-PL-9319,"1","1",
-8.2111287139556,40.7257604528898,"125","125","2","6","390.71","1",,FOTOS\OF-PL-9315,"1","1",
-8.21182799974809,40.7259038919054,"126","126","4","6","389.39","1",,FOTOS\OF-PL-9317,"1","1",
-8.21220183000018,40.7257684511917,"127","127","4","6","389.43","1",,FOTOS\OF-PL-9320,"1","1",
-8.21252362610622,40.7250790779551,"128","128","2","6","408.79","1",,FOTOS\OF-PL-9289,"1","1",
-8.21121029290711,40.7254165033183,"129","129","2","6","400.66","1",,FOTOS\OF-PL-9290,"1","1",
-8.21096658354505,40.7239820159584,"130","130","2","6","410.74","1",,FOTOS\OF-PL-9292,"1","1",
-8.21096240810559,40.724705629885,"131","131","2","6","402.67","1",,FOTOS\OF-PL-9291,"1","1",
-8.2066603482333,40.7277774930054,"132","132","2","6","389.23","1",,FOTOS\OF-PL-9299,"1","1",
-8.20575537244218,40.7286299520141,"133","133","2","6","386.32","1",,FOTOS\OF-PL-9300,"1","1",
-8.2139754376029,40.7260045217161,"134","134","2","6","383.59","1",,FOTOS\OF-PL-9321,"1","1",
-8.21835927372816,40.7224154699241,"135","135","2","6","446.79","1",,FOTOS\OF-PL-9284,"1","1",
-8.21256272760465,40.7223473305456,"136","136","2","6","467.01","1",,FOTOS\OF-PL-9288,"1","1",
-8.24709331739786,40.7014250198222,"137","137","2","6","454.75","1",,FOTOS\OF-PL-9183,"1","1",
-8.21640558451157,40.7230336038954,"138","138","2","6","428.69","1",,FOTOS\OF-PL-9283,"1","1",
-8.24904667286234,40.7004364988254,"139","139","2","6","458.82","1",,FOTOS\OF-PL-9182,"1","1",
-8.24394926596825,40.7030531571209,"140","140","2","6","462.69","1",,FOTOS\OF-PL-9185,"1","1",
-8.25185407131034,40.6990494155993,"141","141","2","6","454.4","1",,FOTOS\OF-PL-9181,"1","1",
-8.24562113055753,40.7021557775966,"142","142","2","6","454.21","1",,FOTOS\OF-PL-9184,"1","1",
-8.24876259589935,40.700956961438,"143","143","2","6","459.78","1",,FOTOS\OF-PL-9189,"1","1",
-8.25113163484045,40.7034975735553,"144","144","2","6","480.06","1",,FOTOS\OF-PL-9188,"1","1",
-8.25147760696743,40.7163167362886,"145","145","2","6","514.36","1",,FOTOS\OF-PL-9203,"1","1",
-8.2460764953635,40.7105112490403,"146","146","2","6","500.24","1",,FOTOS\OF-PL-9198,"1","1",
-8.24042091860254,40.7064277757404,"147","147","2","6","500.24","1",,FOTOS\OF-PL-9195,"1","1",
-8.24519944896352,40.7093722670051,"148","148","2","6","494.2","1",,FOTOS\OF-PL-9197,"1","1",
-8.23772519110763,40.6981887326408,"149","149","2","6","455.87","1",,FOTOS\WIN_20180813_12_23_26_Pro.jpg,"1","1",
-8.23876655878497,40.698296120785,"150","150","2","6","454.99","1",,FOTOS\OF-PL-9209,"1","1",
-8.2239644345136,40.7051831923822,"151","151","2","6","427.96","1",,FOTOS\OF-PL-9215,"1","1",
-8.24989561078745,40.7147027096738,"152","152","2","6","522.6799999999999","1",,FOTOS\OF-PL-9202,"1","1",
-8.22284551459175,40.7031422202231,"153","153","2","6","420.07","1",,FOTOS\OF-PL-9217,"1","1",
-8.23835791572948,40.6991454218404,"154","154","2","6","455.52","1",,FOTOS\OF-PL-9208,"1","1",
-8.23511421600976,40.7045692514179,"155","155","2","6","462.36","1",,FOTOS\OF-PL-9213,"1","1",
-8.22186573041648,40.700893809683,"156","156","2","6","413.69","1",,FOTOS\OF-PL-9218,"1","1",
-8.22735282692657,40.7107982025153,"157","157","2","6","488.02","1",,FOTOS\WIN_20180813_11_41_38_Pro.jpg,"1","1",
-8.230957681491,40.7073011894932,"158","158","4","6","493.45","1",,FOTOS\OF-PL-9221,"1","1",
-8.22595243980576,40.7114141781801,"159","159","2","6","473.62","1",,FOTOS\OF-PL-9227,"1","1",
-8.21151664314221,40.7014981750783,"160","160","2","6","420.08","1",,FOTOS\OF-PL-9246,"1","1",
-8.23068651931648,40.7073715603758,"161","161","4","6","479.02","1",,FOTOS\OF-PL-9220,"1","1",
-8.22432970415059,40.7113679497985,"162","162","2","6","455.46","1",,FOTOS\OF-PL-9233,"1","1",
-8.21829151655612,40.7108321897918,"163","163","2","6","439.5","1",,FOTOS\OF-PL-9239,"1","1",
-8.22190487936602,40.7119927562086,"164","164","2","6","454.66","1",,FOTOS\OF-PL-9235,"1","1",
-8.21226053504888,40.709869978124,"165","165","2","6","464.15","1",,FOTOS\OF-PL-9240,"1","1",
-8.22107250637996,40.7113322168661,"166","166","2","6","443.13","1",,FOTOS\OF-PL-9237,"1","1",
-8.2210155528292,40.7126595122427,"167","167","2","6","463.97","1",,FOTOS\OF-PL-9236,"1","1",
-8.22394311578073,40.7127498448758,"168","168","2","6","455.78","1",,FOTOS\OF-PL-9234,"1","1",
-8.2282100684788,40.7123961771141,"169","169","2","6","481.46","1",,FOTOS\OF-PL-9230,"1","1",
-8.22968459721561,40.7236357284026,"170","170","2","6","496.03","1",,FOTOS\OF-PL-9250,"1","1",
-8.23256456111469,40.7264011758157,"171","171","2","6","452.17","1",,FOTOS\WIN_20180813_11_28_52_Pro.jpg,"1","1",
-8.22485741019018,40.7125803125276,"172","172","2","6","455.5","1",,FOTOS\OF-PL-9231,"1","1",
-8.23376235405761,40.7268021930826,"173","173","2","6","459.07","1",,FOTOS\OF-PL-9257,"1","1",
-8.22698955118745,40.7303908270177,"174","174","2","6","418.93","1",,FOTOS\OF-PL-9269,"1","1",
-8.23080064055129,40.7275838331687,"175","175","2","6","446.85","1",,FOTOS\OF-PL-9259,"1","1",
-8.22875846695699,40.7282076375197,"176","176","2","6","457.15","1",,FOTOS\OF-PL-9267,"1","1",
-8.22777670047892,40.7286017184375,"177","177","2","6","458","1",,FOTOS\OF-PL-9266,"1","1",
-8.23064515314598,40.7272679132968,"178","178","2","6","456.34","1",,FOTOS\OF-PL-9262,"1","1",
-8.22897671376121,40.7248620123278,"179","179","2","6","490.79","1",,FOTOS\OF-PL-9253,"1","1",
-8.22821474805103,40.7295538279523,"180","180","2","6","431.86","1",,FOTOS\OF-PL-9268,"1","1",
-8.23159057560379,40.7265775019065,"181","181","2","6","446.94","1",,FOTOS\OF-PL-9258,"1","1",
-8.23060141475038,40.7285078315292,"182","182","2","6","432.41","1",,FOTOS\OF-PL-9270,"1","1",
-8.23646181547568,40.7306216950071,"183","183","2","6","412.17","1",,FOTOS\OF-PL-9273,"1","1",
-8.23679939943005,40.729961853004,"184","184","2","6","413.11","1",,FOTOS\OF-PL-9274,"1","1",
-8.24419407352239,40.7316136555396,"185","185","2","6","398.02","1",,FOTOS\OF-PL-9282,"1","1",
-8.24676387446087,40.7344159412312,"186","186","2","6","385.09","1",,FOTOS\OF-PL-9277,"1","1",
-8.31329057067039,40.7328049170978,"187","187","2","6","235.27","1",,FOTOS\WIN_20180810_11_10_14_Pro.jpg,"1","1",
-8.31462449309631,40.7377831205597,"188","188","2","6","184.29","1",,FOTOS\WIN_20180810_11_15_45_Pro.jpg,"1","1",
-8.30511362903061,40.7376326590768,"189","189","2","6","200.94","1",,FOTOS\WIN_20180810_11_58_08_Pro.jpg,"1","1",
-8.30481975673172,40.7388260752934,"190","190","2","6","192.82","1",,FOTOS\WIN_20180810_12_01_06_Pro.jpg,"1","1",
-8.30628204342245,40.7394159178856,"191","191","2","6","190.63","1",,FOTOS/RIBEIRADIO/OF-RD-9091,"1","1",
-8.30010740468014,40.7400770174783,"192","192","2","6","211.45","1",,FOTOS/RIBEIRADIO/OF-RD-9094,"1","1",
-8.30027476608237,40.7395764823384,"193","193","2","6","209.68","1",,FOTOS/RIBEIRADIO/OF-RD-9093,"1","1",
-8.29935745149009,40.7324502251538,"194","194","2","6","267.12","1",,FOTOS\WIN_20180810_11_40_41_Pro.jpg,"1","1",
-8.30324627862269,40.7308880717238,"195","195","2","6","262.19","1",,FOTOS/RIBEIRADIO/OF-RD-9082,"1","1",
-8.30986661371784,40.728663997406,"196","196","2","6","296.52","1",,FOTOS\WIN_20180810_11_33_24_Pro.jpg,"1","1",
-8.30748500179171,40.7293037270225,"197","197","2","6","350.86","1",,FOTOS\WIN_20180810_11_30_31_Pro.jpg,"1","1",
-8.30829756057628,40.7294965113185,"198","198","2","6","295.28","1",,FOTOS/RIBEIRADIO/OF-RD-9088,"1","1",
-8.30832444527187,40.7286849530727,"199","199","2","6","296.56","1",,FOTOS/RIBEIRADIO/OF-RD-9086,"1","1",
-8.29917344926303,40.733828604578,"200","200","2","6","260.92","1",,FOTOS\WIN_20180810_11_44_50_Pro.jpg,"1","1",
-8.2502171419269,40.7991254778262,"201","201","2","6","354.028","1",,FOTOS\OF-SJ-WIN_20160629_11_33_04_Pro,"1","1",
-8.24952318611983,40.7980265317325,"202","202","2","6","332.855","1",,FOTOS\OF-SJ-WIN_20160629_11_37_36_Pro,"1","1",
-8.25034837384121,40.7984767361521,"203","203","2","6","336.373","1",,FOTOS\OF-SJ-WIN_20160629_11_38_54_Pro,"1","1",
-8.24877851194946,40.7972743497271,"204","204","2","6","350.287","1",,FOTOS\OF-SJ-WIN_20160629_11_43_50_Pro,"1","1",
-8.23827531090774,40.7904257482623,"205","205","2","6","403.114","1",,FOTOS\OF-SJ-WIN_20160629_10_21_17_Pro,"1","1",
-8.23431955391505,40.789501972573,"206","206","2","6","408.873","1",FOTOS\OF-SJ-WIN_20160629_09_48_11_Pro,FOTOS\OF-SJ-WIN_20160629_09_48_22_Pro,"1","1",
-8.23476513278122,40.7887319266202,"207","207","2","6","416.381","1",,FOTOS\OF-SJ-WIN_20160629_09_46_31_Pro,"1","1",
-8.24334661808683,40.7833477843247,"208","208","2","6","354.493","1",,FOTOS\OF-SJ-WIN_20160629_11_50_54_Pro,"1","1",
-8.24341812066146,40.7830007814018,"209","209","2","6","354.295","1",,FOTOS\OF-SJ-WIN_20160629_11_52_14_Pro,"1","1",
-8.24353962466928,40.7830309579217,"210","210","2","6","352.426","1",,FOTOS\OF-SJ-WIN_20160629_11_53_27_Pro,"1","1",
-8.24368818109188,40.7833218383811,"211","211","2","6","350.346","1",,FOTOS\OF-SJ-WIN_20160629_11_54_10_Pro,"1","1",
-8.24539461228979,40.784855934441,"212","212","2","6","336.746","1",FOTOS\OF-SJ-WIN_20160629_11_55_52_Pro,FOTOS\OF-SJ-WIN_20160629_11_55_59_Pro,"1","1",
-8.24334204622143,40.782144607143,"213","213","2","6","350.952","1",,FOTOS\OF-SJ-WIN_20160629_11_58_13_Pro,"1","1",
-8.24083545097576,40.7763900280598,"214","214","2","6","376.788","1",,FOTOS\OF-SJ-WIN_20160629_13_35_30_Pro,"1","1",
-8.24329831856623,40.7805953157966,"215","215","2","6","342.01","1",,FOTOS\OF-SJ-WIN_20160629_13_57_08_Pro,"1","1",
-8.2472090078719,40.7820789482767,"216","216","2","6","331.181","1",,FOTOS\OF-SJ-WIN_20160629_15_37_45_Pro,"1","1",REGADIO
-8.25265598415971,40.7816995654882,"217","217","2","6","260.127","1",,FOTOS\OF-SJ-WIN_20160629_15_10_54_Pro,"1","1",
-8.26374976061461,40.7687285475274,"218","218","2","6","187.718","1",FOTOS\OF-SJ-WIN_20160629_14_23_21_Pro,FOTOS\OF-SJ-WIN_20160629_14_23_28_Pro,"1","1",
-8.26471828368833,40.7690411000428,"219","219","2","6","191.158","1",FOTOS\OF-SJ-WIN_20160629_14_26_14_Pro,FOTOS\OF-SJ-WIN_20160629_14_26_22_Pro,"1","1",
-8.26157079658929,40.7697377428836,"220","220","2","6","193.247","1",,FOTOS\OF-SJ-WIN_20160629_14_34_36_Pro,"1","1",
